city,type,date,SO2,NO,NO2,Nox,CO,O3,PM10,PM25,WD,WS,temp,RH
평택,도시대기,2018-11-14 1:00,0.004,0.029,0.030666667,0.059333333,0.333333333,0.009,60.66666667,37.66666667,150,0.766666667,6.7,78.33333333
평택,도시대기,2018-11-14 2:00,0.004,0.028666667,0.028666667,0.057333333,0.333333333,0.008333333,61,38,210,0.6,5.966666667,81.33333333
평택,도시대기,2018-11-14 3:00,0.004,0.033333333,0.030666667,0.064,0.333333333,0.005,62.33333333,38.33333333,105,0.733333333,5.333333333,84.66666667
평택,도시대기,2018-11-14 4:00,0.003333333,0.036333333,0.031333333,0.067333333,0.366666667,0.004,65,40.66666667,180,0.7,4.7,88.66666667
평택,도시대기,2018-11-14 5:00,0.003333333,0.044666667,0.034333333,0.079,0.4,0.003666667,61.33333333,38.33333333,90,0.8,4.433333333,89
평택,도시대기,2018-11-14 6:00,0.003,0.058,0.035333333,0.093,0.4,0.003333333,71.66666667,43.66666667,180,0.7,4.166666667,90.33333333
평택,도시대기,2018-11-14 7:00,0.003,0.076666667,0.039,0.115666667,0.4,0.003,71,46,165,0.466666667,3.933333333,90.66666667
평택,도시대기,2018-11-14 8:00,0.003,0.137,0.045333333,0.182666667,0.433333333,0.003333333,71.33333333,42.66666667,172.5,0.7,4.066666667,90.66666667
평택,도시대기,2018-11-14 9:00,0.003333333,0.114,0.041333333,0.155666667,0.433333333,0.003666667,86.66666667,47,90,0.666666667,5.433333333,86.33333333
평택,도시대기,2018-11-14 10:00,0.004,0.084666667,0.039333333,0.124333333,0.366666667,0.004666667,91,48,82.5,0.766666667,7.866666667,78.33333333
평택,도시대기,2018-11-14 11:00,0.004,0.044666667,0.035,0.08,0.333333333,0.008333333,89.66666667,47.66666667,75,1.033333333,10.53333333,70.33333333
평택,도시대기,2018-11-14 12:00,0.004666667,0.03,0.033,0.063,0.3,0.012,80,41.33333333,225,1.133333333,12.33333333,64.33333333
평택,도시대기,2018-11-14 13:00,0.012,0.028666667,0.033333333,0.062,0.333333333,0.020666667,82.33333333,43.33333333,157.5,1.3,13.83333333,58.66666667
평택,도시대기,2018-11-14 14:00,0.007,0.016,0.033,0.048666667,0.3,0.025,84,46.66666667,165,1.5,14.66666667,53.33333333
